t1	0
t10	0
t100	0
t1000	0
t10000	2
t100000	0
t100001	0
t100002	0
t100003	3
t100004	0
t100005	0
t100006	1
t100007	0
t100008	0
t100009	0
t10001	3
t100010	0
t100011	0
t100012	0
t100013	0
t100014	0
t100015	0
t100016	0
t100017	1
t100018	0
t100019	1
t10002	0
t100020	0
t100021	0
t100022	0
t100023	0
t100024	0
t100025	0
t100026	0
t100027	1
t100028	0
t100029	0
t10003	0
t100030	7
t100031	8
t100032	9
t100033	1
t100034	3
t100035	0
t100036	0
t100037	0
t100038	0
t100039	0
t10004	0
t100040	0
t100041	0
t100042	0
t100043	0
t100044	1
t100045	0
t100046	0
t100047	0
t100048	0
t100049	0
t10005	0
t100050	0
t100051	0
t100052	0
t100053	0
t100054	0
t100055	0
t100056	0
t100057	0
t100058	0
t100059	0
t10006	0
t100060	0
t100061	0
t100062	0
t100063	0
t100064	0
t100065	0
t100066	0
t100067	3
t100068	0
t100069	1
t10007	0
t100070	0
t100071	0
t100072	1
t100073	0
t100074	0
t100075	0
t100076	0
t100077	0
t100078	0
t100079	0
t10008	1
t100080	0
t100081	0
t100082	0
t100083	0
t100084	0
t100085	0
t100086	0
t100087	0
t100088	0
t100089	0
t10009	0
t100090	0
t100091	1
t100092	0
t100093	1
t100094	0
t100095	0
t100096	0
t100097	0
t100098	0
t100099	4
t1001	0
t10010	0
t100100	0
t100101	0
t100102	0
t100103	0
t100104	0
t100105	0
t100106	0
t100107	0
t100108	0
t100109	0
t10011	0
t100110	0
t100111	0
t100112	0
t100113	0
t100114	0
t100115	0
t100116	4
t100117	1
t100118	0
t100119	0
t10012	0
t100120	0
t100121	0
t100122	0
t100123	0
t100124	1
t100125	0
t100126	1
t100127	0
t100128	0
t100129	0
t10013	0
t100130	0
t100131	0
t100132	0
t100133	0
t100134	0
t100135	0
t100136	0
t100137	0
t100138	0
t100139	0
t10014	0
t100140	0
t100141	0
t100142	0
t100143	0
t100144	0
t100145	0
t100146	2
t100147	0
t100148	0
t100149	0
t10015	0
t100150	0
t100151	0
t100152	0
t100153	0
t100154	0
t100155	0
t100156	0
t100157	0
t100158	0
t100159	0
t10016	2
t100160	0
t100161	0
t100162	0
t100163	3
t100164	0
t100165	0
t100166	0
t100167	0
t100168	0
t100169	0
t10017	0
t100170	0
t100171	0
t100172	0
t100173	0
t100174	0
t100175	0
t100176	2
t100177	0
t100178	0
t100179	0
t10018	0
t100180	0
t100181	0
t100182	0
t100183	0
t100184	0
t100185	0
t100186	0
t100187	0
t100188	0
t100189	0
t10019	0
t100190	0
t100191	1
t100192	0
t100193	0
t100194	0
t100195	0
t100196	0
t100197	1
t100198	2
t100199	1
t1002	0
t10020	0
t100200	0
t100201	3
t100202	0
t100203	0
t100204	0
t100205	0
t100206	3
t100207	0
t100208	0
t100209	0
t10021	0
t100210	0
t100211	3
t100212	0
t100213	1
t100214	0
t100215	0
t100216	0
t100217	0
t100218	0
t100219	7
t10022	0
t100220	0
t100221	0
t100222	3
t100223	0
t100224	0
t100225	0
t100226	0
t100227	0
t100228	0
t100229	3
t10023	0
t100230	0
t100231	2
t100232	0
t100233	0
t100234	0
t100235	0
t100236	0
t100237	0
t100238	0
t100239	0
t10024	1
t100240	0
t100241	0
t100242	1
t100243	0
t100244	0
t100245	0
t100246	0
t100247	0
t100248	0
t100249	0
t10025	0
t100250	1
t100251	12
t100252	1
t100253	1
t100254	0
t100255	0
t100256	0
t100257	5
t100258	2
t100259	0
t10026	0
t100260	1
t100261	3
t100262	2
t100263	0
t100264	0
t100265	0
t100266	1
t100267	0
t100268	0
t100269	0
t10027	25
t100270	0
t100271	0
t100272	0
t100273	0
t100274	0
t100275	0
t100276	0
t100277	1
t100278	0
t100279	0
t10028	134
t100280	2
t100281	1
t100282	0
t100283	0
t100284	0
t100285	0
t100286	0
t100287	0
t100288	0
t100289	0
t10029	46
t100290	0
t100291	0
t100292	0
t100293	0
t100294	2
t100295	0
t100296	0
t100297	0
t100298	0
t100299	0
t1003	0
t10030	7
t100300	0
t100301	0
t100302	0
t100303	2
t100304	2
t100305	0
t100306	0
t100307	0
t100308	0
t100309	0
t10031	0
t100310	0
t100311	0
t100312	0
t100313	0
t100314	0
t100315	0
t100316	0
t100317	0
t100318	0
t100319	0
t10032	0
t100320	6
t100321	0
t100322	0
t100323	0
t100324	0
t100325	0
t100326	0
t100327	0
t100328	0
t100329	1
t10033	0
t100330	0
t100331	0
t100332	0
t100333	1
t100334	0
t100335	0
t100336	0
t100337	1
t100338	1
t100339	1
t10034	0
t100340	0
t100341	8
t100342	0
t100343	0
t100344	1
t100345	0
t100346	0
t100347	0
t100348	0
t100349	0
t10035	0
t100350	0
t100351	1
t100352	0
t100353	0
t100354	0
t100355	1
t100356	0
t100357	1
t100358	0
t100359	0
t10036	0
t100360	0
t100361	0
t100362	0
t100363	0
t100364	0
t100365	0
t100366	0
t100367	0
t100368	0
t100369	0
t10037	0
t100370	3
t100371	0
t100372	0
t100373	0
t100374	0
t100375	0
t100376	2
t100377	2
t100378	4
t100379	1
t10038	0
